"name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller "," ","Fuel","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weight and Capacities","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Do Not Exceed Speed ","Perforance","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1998 Aviat Pitts S-2C ","  ","Lyc. AEIO-540-D4A5 ","6 ","541.5 cu. in. ","260 ","Fuel Injected ","Constant Speed ","  ","  ","29 gallons (normal cat.) 
24 gallons (aerobatic cat.) ","100 ","14 gallons ","  ","1,700 lbs. ","1,700 lbs. ","1,150 lbs.  ","550 lbs. ","550 lbs. ","20 lbs. ","13 quarts ","  ","184 KCAS ","134 KCAS ","56 KIAS ","Unknown ","2,900 FPM ","13.3 lbs./sq. ft. (normal cat.) 
12.7 lbs./sq. ft. (aerobatic cat.) ","6.59 lbs./hp (normal cat.) 
6.25 lbs./hp (aerobatic cat.) ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1968 E33 Beechcraft Bonanza ","  ","Cont. IO-470-K ","6 ","471 cu. in. ","225 ","Fuel Injected ","Constant Speed ","  ","  ","49 gallons (useable) 
Long Range Tanks: 80 gallons (useable) ","80 ","About 13.4 gallons ","  ","N/A ","3050 lbs. ","1780 lbs. ","N/A ","1270 lbs. ","270 lbs. ","10 quarts ","  ","195 KCAS ","161 KCAS ","62 Knots ","52 Knots ","About 930 FPM ","Not Available ","Not Available ","17,800 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1968 V35A Beechcraft Bonanza ","  ","Cont. IO-520-B ","6 ","520 cu. in. ","285 ","Fuel Injected ","Constant Speed ","  ","  ","49 gallons (useable) 
Long Range Tanks 80 gallons (useable) ","100 ","About 15.3 gallons ","  ","N/A ","3,400 lbs. ","1,935 lbs. ","N/A ","1,465 lbs. ","270 lbs. ","12 quarts ","  ","195 KCAS ","165 Knots ","64 Knots ","55 Knots ","About 1140 FPM ","Not Available ","Not Available ","17,500 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1977 A36 Beechcraft Bonanza ","  ","Cont. IO-520-BB or BA ","6 ","520 cu. in. ","285 ","Fuel Injected ","Constant Speed ","  ","  ","44 gallons (useable) 
Long Range Tanks 74 gallons (useable) ","100 ","About 15.2 gallons ","  ","N/A ","3,600 lbs. ","2,096 lbs ","N/A ","1,504 lbs. ","400 lbs. ","12 quarts. ","  ","203 KCAS ","165 KCAS ","62 Knots ","52 Knots ","About 1020 FPM ","19.9 lbs./sq. ft. ","12.6 lbs./sq. ft. ","16,000 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1970 A24 
Beechcraft Musketeer 24 
(later renamed Sierra) ","  ","Lyc. IO-360-A2B ","4 ","361 cu. in. ","200 ","Fuel Injected ","Constant Speed ","  ","  ","59.8 gallons ","100 ","12.3 gallons ","  ","2,550 lbs. ","2,200 lbs. ","1,570 (estimated) ","980 lbs. (estimated) ","630 lbs. (estimated) ","270 lbs. ","8 quarts ","  ","152 KCAS ","135 KCAS ","63 Knots ","52 Knots ","950 FPM ","17.47 lbs./sq. ft. ","12.75 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1981 C24R 
Beechcraft Sierra ","  ","Lyc. IO-360-A1B6 ","4 ","361 cu. in. ","200 ","Fuel Injected ","Constant Speed ","  ","  ","59.8 gallons ","100 ","10 gallons ","  ","2,750 lbs. ","N/A ","1,720 lbs. ","1,030 lbs. ","N/A ","270 lbs. ","8 quarts ","  ","168 KIAS ","143 KIAS ","65 Knots ","60 Knots ","862 FPM ","18.84 lbs./sq. ft. ","13.75 lbs./hp ","14,350 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","
Performance
","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","
Performance
","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","
Performance
","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1977 Beechcraft 77 Skipper ","  ","Lyc. O-235-L2C ","4 ","233 cu. in. ","115 ","Carbureted   ","Fixed Pitch   ","  ","  ","30  gallons ","100 ","7.4 gallons ","  ","N/A ","1,675 lbs. ","1,100 ","N/A ","575 lbs. ","120 lbs. ","6 quarts ","  ","143 KIAS ","119 KIAS ","49 Knots ","47 Knots ","720 FPM ","12.9 lbs./sq. ft. ","14.6 lbs./ hp ","12,900 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1966 A23-19 
Beechcraft Sport III ","  ","Lyc. O-320-E2B ","4 ","319.8 cu. in. ","150 ","Carbureted ","Fixed Pitch ","  ","  ","59.8 gallons ","80/87 ","9 gallons ","  ","2,200 lbs. ","2,030 lbs. ","1,437 (estimated) ","763 lbs. (estimated) ","593 lbs. (estimated) ","340 lbs. ","8 quarts ","  ","152 KCAS ","134 KCAS ","58 Knots ","48 Knots ","740 FPM ","15.07 lbs./sq. ft. ","15.0 lbs./hp ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1973 B19 
Beechcraft Sport 150 ","  ","Lyc. O-320-E2B ","4 ","319.8 cu. in. ","150 ","Carbureted ","Fixed Pitch ","  ","  ","59.8 gallons ","80/87 ","9 gallons ","  ","2,150 lbs. ","2,030 lbs. ","1,433 lbs.  (estimated) ","717 lbs. (estimated) ","597 lbs. (estimated) ","340 lbs. ","8 quarts ","  ","152 KCAS ","134 KCAS ","59 Knots ","50 Knots ","680 FPM ","Unknown ","Unknown ","Unknown ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1968 B23 
Beechcraft Musketeer Custom III 
( Later renamed Sundowner) ","  ","Lyc. O-360-A2G ","4 ","361  cu. in. ","180 ","Carbureted   ","Fixed Pitch   ","  ","  ","60 gallons ","91/96 ","10.8 gallons ","  ","2,450 lbs. ","2,030 lbs. ","1,365 ","1,085 lbs.  ","665 lbs. ","270 lbs. ","8 quarts ","  ","152 KCAS ","135.5 KCAS ","63 Knots ","51 Knots ","820 FPM ","Unknown ","Unknown ","13,650 ft. ""name","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Landing Configuration ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"1980 C23 
Beechcraft Sundowner ","  ","Lyc. O-360-A4K ","4 ","361 cu. in. ","180 ","Carbureted   ","Fixed Pitch   ","  ","  ","59.8 gallons ","91/96 ","11 gallons ","  ","2,450 lbs. ","2,030 lbs. ","1,502 lbs. ","948  lbs. ","528 lbs. ","270 lbs. ","8 quarts ","  ","152 KCAS ","135.5 KCAS ","63 Knots ","52 Knots ","792 FPM ","16.78 lbs./sq. ft. ","13.61 lbs./hp ","12,600 ft. ""name","Price At Retail Value ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance: ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Flaps ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
"  ","Price At Retail Value ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance: ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Flaps ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling ""name","Price At Retail Value ","Engine: ","Model ","No. Cylinders ","Displacement ","HP ","Carbureted Or Fuel Injected ","Fixed Pitch/ Constant Speed Propeller ","  ","Fuel: ","Fuel Capacity ","Min. Octane Fuel ","Avg. Fuel Burn at 75% power in standard conditions per hour ","Weights and Capacities: ","Takeoff/Landing Weight Normal Category ","Takeoff/Landing Weight Utility Category ","Standard Empty Weight ","Max. Useful Load Normal Category ","Max. Useful Load Utility Category ","Baggage Capacity ","Oil Capacity ","Performance: ","Do Not Exceed Speed ","Max. Structural Cruising Speed ","Stall Speed Clean ","Stall Speed Flaps ","Climb Best Rate ","Wing Loading ","Power Loading ","Service Ceiling "
